commander_id,current_name,current_order,proposed_community_order,status,notes
611ce93c-f2dc-420b-9c56-d492bd42324d,"Krark, the Thumbless / Orvar, the All-Form","Krark, the Thumbless / Orvar, the All-Form",,,
9d89dcd0-e5f8-4299-8d08-fd48d452e2f7,"Krark, the Thumbless / Reyhan, Last of the Abzan","Krark, the Thumbless / Reyhan, Last of the Abzan",,,
70fb08c2-143c-43fd-a34f-27fed92b6da0,"Krark, the Thumbless / Rograkh, Son of Rohgahh","Krark, the Thumbless / Rograkh, Son of Rohgahh",,,
5950eccb-0c68-4b06-a35d-09558fc28c08,"Krark, the Thumbless / Sakashima of a Thousand Faces","Krark, the Thumbless / Sakashima of a Thousand Faces",,,
eadb234a-7655-4ae1-abf0-c542f5206f60,"Krark, the Thumbless / Sidar Kondo of Jamuraa","Krark, the Thumbless / Sidar Kondo of Jamuraa",,,
d43d9d54-c28b-4bda-8fa3-ce6e18acc9b6,"Krark, the Thumbless / Silas Renn, Seeker Adept","Krark, the Thumbless / Silas Renn, Seeker Adept",,,
723059a4-cc6b-4e65-b390-a0e4e13643ce,"Krark, the Thumbless / Tevesh Szat, Doom of Fools","Krark, the Thumbless / Tevesh Szat, Doom of Fools",,,
7f6b5a08-08f7-457a-856e-13bd76c1ae9f,"Krark, the Thumbless / Thrasios, Triton Hero","Krark, the Thumbless / Thrasios, Triton Hero",,,
17564832-3571-4a45-9d09-6d543690e8c8,"Krark, the Thumbless / Tymna the Weaver","Krark, the Thumbless / Tymna the Weaver",,,
cc20e468-87c2-4fcc-a451-cc0a7fd911f6,"Kraum, Ludevic's Opus / Reyhan, Last of the Abzan","Kraum, Ludevic's Opus / Reyhan, Last of the Abzan",,,
daae711d-48d8-4573-9cee-1b404c63bddf,"Kraum, Ludevic's Opus / Tevesh Szat, Doom of Fools","Kraum, Ludevic's Opus / Tevesh Szat, Doom of Fools",,,
d854a49f-1936-4a51-bc14-1c4aa2bda2f4,"Kraum, Ludevic's Opus / Thrasios, Triton Hero","Kraum, Ludevic's Opus / Thrasios, Triton Hero",,,
438d072e-70e1-497b-a777-5d75c25a1381,"Kraum, Ludevic's Opus / Tormod, the Desecrator","Kraum, Ludevic's Opus / Tormod, the Desecrator",,,
1f070b3d-8c71-4be6-8706-491327ab4b82,"Kraum, Ludevic's Opus / Tymna the Weaver","Kraum, Ludevic's Opus / Tymna the Weaver",,,
7a16960e-8f95-491a-946b-52206c094e3e,"Kraum, Ludevic's Opus / Vial Smasher the Fierce","Kraum, Ludevic's Opus / Vial Smasher the Fierce",,,
4a3e6185-8158-4785-a1fb-53cffca14078,"Kraum, Ludevic's Opus / Yoshimaru, Ever Faithful","Kraum, Ludevic's Opus / Yoshimaru, Ever Faithful",,,
f3a0fabc-f0b1-4259-a900-bd3b02e007c8,"Kraum, Violent Cacophony / Tymna the Weaver","Kraum, Violent Cacophony / Tymna the Weaver",,,
49574dca-4ac9-4874-8596-6aeff3b28b27,"Kydele, Chosen of Kruphix / Rograkh, Son of Rohgahh","Kydele, Chosen of Kruphix / Rograkh, Son of Rohgahh",,,
